Russian,English
не,not
что,what
в,in
и,and
ты,you
это,this
на,on
с,from
он,he
вы,you
как,as
мы,we
да,Yes
а,a
мне,to me
меня,me
у,at
нет,no
так,So
но,but
то,the
все,all
тебя,you
его,his
за,per
о,about
она,she
тебе,you
если,if
они,they
бы,would
же,the same
ну,Well
здесь,here
к,to
из,of
есть,there is
чтобы,that
для,for
хорошо,well
когда,when
вас,you
только,only
по,by
вот,here
просто,simply
был,It was
знаю,I know
нас,us
всё,all
было,It was
от,from
может,can
кто,Who
вам,you
очень,highly
их,them
там,there
будет,will be
уже,already
почему,why
еще,more
быть,be
где,Where
спасибо,Thank you
ничего,nothing
сейчас,now
или,or
могу,can
хочу,want
нам,us
чем,than
мой,my
до,before
надо,must
этого,it
ее,her
теперь,Now
давай,let's
знаешь,know
нужно,need to
больше,more
этом,this
нибудь,anything
раз,time
со,with
была,It was
этот,this
ему,him
ладно,okay
эй,Hey
время,time
тоже,also
даже,even
хочешь,want
сказал,He said
ли,whether
себя,himself
думаю,I think
пока,until
должен,must
потому,because
никогда,never
ни,or
тут,here
ещё,more
её,her
пожалуйста,you are welcome
сюда,here
привет,Hi
тогда,then
конечно,of course
моя,my
него,it
сегодня,Today
один,one
тобой,you
правда,true
лучше,better
об,about
были,It was
того,Togo
можно,can
мной,me
всегда,always
сказать,to tell
день,day
сэр,sir
без,without
можешь,can
чего,what
эти,these
дело,a business
значит,so
лет,years
много,lot
во,in
делать,make
буду,I will
порядке,order of
должны,should
такой,such
ведь,after all
ним,it
всего,Total
сделать,make
хотел,I wanted
твой,is yours
жизнь,a life
ей,to her
мистер,Mr
потом,then
через,across
себе,himself
них,them
всех,all
такое,this
им,them
куда,where to
том,Tom
мама,mum
после,after
человек,man
люди,people
слишком,too
иди,go
зачем,what for
этим,these
немного,Little
сколько,how much
этой,this
знаете,you know
боже,Christ
ней,her
эту,this
который,which the
отец,father
свою,its
деньги,money
два,two
под,under
твоя,yours
мои,my
никто,nobody
моей,my
думаешь,think
друг,friend
жизни,life
эта,this
назад,ago
видел,saw
кажется,it seems
точно,exactly
вместе,together
люблю,love
мог,could
случилось,It happened
сам,himself
нравится,like
черт,heck
какой,which
людей,of people
папа,dad
домой,home
тот,the
скажи,tell
которые,that
должна,must
три,three
всем,all
сделал,did
возможно,perhaps
прошу,I beg
будем,will
дома,at home
